elapsed time = 35.80 | seconds power is 2 | number of threads is 1 | block size is 4
elapsed time = 67.85 | seconds power is 3 | number of threads is 1 | block size is 4
elapsed time = 99.50 | seconds power is 4 | number of threads is 1 | block size is 4
elapsed time = 131.20 | seconds power is 5 | number of threads is 1 | block size is 4
elapsed time = 162.70 | seconds power is 6 | number of threads is 1 | block size is 4
elapsed time = 194.36 | seconds power is 7 | number of threads is 1 | block size is 4
elapsed time = 225.97 | seconds power is 8 | number of threads is 1 | block size is 4
elapsed time = 257.62 | seconds power is 9 | number of threads is 1 | block size is 4
elapsed time = 289.28 | seconds power is 10 | number of threads is 1 | block size is 4
elapsed time = 321.37 | seconds power is 11 | number of threads is 1 | block size is 4
elapsed time = 353.56 | seconds power is 12 | number of threads is 1 | block size is 4
elapsed time = 385.94 | seconds power is 13 | number of threads is 1 | block size is 4
elapsed time = 418.58 | seconds power is 14 | number of threads is 1 | block size is 4
elapsed time = 450.57 | seconds power is 15 | number of threads is 1 | block size is 4
elapsed time = 482.35 | seconds power is 16 | number of threads is 1 | block size is 4
elapsed time = 504.13 | seconds power is 2 | number of threads is 1 | block size is 8
elapsed time = 525.91 | seconds power is 3 | number of threads is 1 | block size is 8
elapsed time = 547.69 | seconds power is 4 | number of threads is 1 | block size is 8
elapsed time = 569.46 | seconds power is 5 | number of threads is 1 | block size is 8
elapsed time = 591.24 | seconds power is 6 | number of threads is 1 | block size is 8
elapsed time = 613.01 | seconds power is 7 | number of threads is 1 | block size is 8
elapsed time = 634.78 | seconds power is 8 | number of threads is 1 | block size is 8
elapsed time = 656.56 | seconds power is 9 | number of threads is 1 | block size is 8
elapsed time = 678.33 | seconds power is 10 | number of threads is 1 | block size is 8
elapsed time = 700.22 | seconds power is 11 | number of threads is 1 | block size is 8
elapsed time = 721.99 | seconds power is 12 | number of threads is 1 | block size is 8
elapsed time = 743.75 | seconds power is 13 | number of threads is 1 | block size is 8
elapsed time = 765.51 | seconds power is 14 | number of threads is 1 | block size is 8
elapsed time = 787.27 | seconds power is 15 | number of threads is 1 | block size is 8
elapsed time = 809.05 | seconds power is 16 | number of threads is 1 | block size is 8
elapsed time = 829.37 | seconds power is 2 | number of threads is 1 | block size is 16
elapsed time = 849.71 | seconds power is 3 | number of threads is 1 | block size is 16
elapsed time = 870.04 | seconds power is 4 | number of threads is 1 | block size is 16
elapsed time = 890.38 | seconds power is 5 | number of threads is 1 | block size is 16
elapsed time = 910.71 | seconds power is 6 | number of threads is 1 | block size is 16
elapsed time = 931.05 | seconds power is 7 | number of threads is 1 | block size is 16
elapsed time = 951.38 | seconds power is 8 | number of threads is 1 | block size is 16
elapsed time = 971.71 | seconds power is 9 | number of threads is 1 | block size is 16
